mmsi,vessel_name,callsign,timestamp,heading,speed,current_status,src,type,flag,length,width,draft,cargo_weight,lat,lon,dist_from_port,dist_from_shore,geom
574708049,A MMSI,NONE,2023-03-31T09:16:49.000Z,0,1.01099223064031,LIMITED MOVEMENT,GFW-AIS,GEAR,VNM,0,0,0,0,7.9558,103.5862,263.166,142,"{""type"": ""Point"", ""coordinates"": [103.5862, 7.9558]}"
525008100,MT MUSI,POKU 0,2017-09-30T07:24:55.000Z,0,0,ANCHORED,GFW-AIS,OTHER,IDN,0,0,0,0,-1.0433,100.3355,0,1,"{""type"": ""Point"", ""coordinates"": [100.3355, -1.0433]}"
9125082,MMS 1,NONE,2022-05-19T05:17:06.000Z,0,0,ANCHORED,GFW-AIS,OTHER,OTHER,0,0,0,0,34.6618,33.0865,0,4,"{""type"": ""Point"", ""coordinates"": [33.0865, 34.6618]}"
265665080,SY/MYSI,SD8825,2021-07-31T11:12:12.000Z,0,0,ANCHORED,GFW-AIS,PASSENGER,SWE,0,0,0,0,58.5447,16.9766,0,1,"{""type"": ""Point"", ""coordinates"": [16.9766, 58.5447]}"
244013021,MUSI,PA3338,2024-08-23T13:20:13.000Z,0,0,ANCHORED,GFW-AIS,OTHER,NLD,0,0,0,0,52.4983,13.1995,0,0,"{""type"": ""Point"", ""coordinates"": [13.1995, 52.4983]}"
466558640,MASI,A7D9739,2022-12-20T18:50:25.000Z,0,0,ANCHORED,GFW-AIS,OTHER,QAT,0,0,0,0,25.9346,51.602,0,4,"{""type"": ""Point"", ""coordinates"": [51.602, 25.9346]}"
412006978,MMIS,BZSF3,2020-07-08T06:59:16.000Z,0,0.660707696761068,LIMITED MOVEMENT,GFW-AIS,OTHER,CHN,0,0,0,0,44.8726,163.7248,853.772188,835,"{""type"": ""Point"", ""coordinates"": [163.7248, 44.8726]}"
265725270,MASI,NONE,2017-05-05T16:10:25.000Z,0,0,ANCHORED,GFW-AIS,PASSENGER,SWE,0,0,0,0,57.6918,11.7694,0,0,"{""type"": ""Point"", ""coordinates"": [11.7694, 57.6918]}"
238215540,MR.SI,9A7473,2024-06-19T09:30:21.000Z,0,0,ANCHORED,GFW-AIS,PASSENGER,HRV,0,0,0,0,43.1541,16.4244,0,2,"{""type"": ""Point"", ""coordinates"": [16.4244, 43.1541]}"
258292940,MASI,LG8666,2022-06-27T19:27:51.000Z,0,0,ANCHORED,GFW-AIS,OTHER,NOR,0,0,0,0,59.9117,10.699,0,0,"{""type"": ""Point"", ""coordinates"": [10.699, 59.9117]}"
265665080,SY/MYSI,NONE,2021-05-04T15:52:52.000Z,0,0,ANCHORED,GFW-AIS,PASSENGER,SWE,0,0,0,0,59.3838,18.5292,0,0,"{""type"": ""Point"", ""coordinates"": [18.5292, 59.3838]}"
258016320,EMSI,LE8695,2022-08-10T16:23:24.000Z,0,0,ANCHORED,GFW-AIS,PASSENGER,NOR,0,0,0,0,59.1155,11.3309,0,0,"{""type"": ""Point"", ""coordinates"": [11.3309, 59.1155]}"
413238140,MV.RUICHENG99,NONE,2020-06-17T05:20:53.000Z,0,0,ANCHORED,GFW-AIS,CARGO,CHN,0,0,0,0,22.1578,114.165,0,0,"{""type"": ""Point"", ""coordinates"": [114.165, 22.1578]}"
574160379,UNKNOWN,NONE,2023-04-15T21:59:32.000Z,0,0.0946769425957159,LIMITED MOVEMENT,GFW-AIS,FISHING,VNM,0,0,0,0,20.4335,108.4058,50.978055,77,"{""type"": ""Point"", ""coordinates"": [108.4058, 20.4335]}"
574150819,F YY,NONE,2024-09-13T06:20:23.000Z,0,0.573694875603645,LIMITED MOVEMENT,GFW-AIS,FISHING,VNM,0,0,0,0,20.5336,108.1305,69.813398,58,"{""type"": ""Point"", ""coordinates"": [108.1305, 20.5336]}"
